customer_id,count_x,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,count_y,quarter,number_of_referrals,customer_enrollment_date,offer,phone_service,internet_service,internet_type,avg_monthly_gb_download,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure_in_days
8779QRDMV,1,Male,78,No,Yes,N,No,O,1,Q3,0,2020-08-01,,No,Yes,DSL,8.0,No,Yes,No,No,Month-to-Month,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,31
TCO-7495OOKFY,1,Female,74,No,Yes,Y,Yes,1,1,Q3,1,2020-01-01,Offer E,Yes,Yes,Fiber Optic,17.0,No,No,No,Yes,Month-to-Month,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,244
TCO-1658BYGOY,1,Male,71,No,Yes,N,Yes,3,1,Q3,0,2019-04-01,Offer D,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,519
4598XLKNJ,1,Female,78,No,Yes,Yes,Yes,1,1,Q3,1,2018-08-01,Offer C,Yes,Yes,Fiber Optic,12.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,98.5,2514.5,13.43,0,494.0,2995.07,762
4846WHAFZ,1,Female,80,No,Yes,Yes,Yes,1,1,Q3,1,2017-08-01,Offer C,Yes,Yes,Fiber Optic,14.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,1127
4412YLTKF,1,Female,72,No,Yes,No,Yes,1,1,Q3,0,2018-07-01,Offer C,Yes,Yes,Fiber Optic,18.0,No,No,No,No,Month-to-Month,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,793
0390DCFDQ,1,Female,76,No,Yes,Yes,Yes,2,1,Q3,1,2020-08-01,Offer E,Yes,Yes,Fiber Optic,30.0,No,No,No,Yes,Month-to-Month,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,31
3445HXXGF,1,Male,66,No,Yes,Yes,No,0,1,Q3,6,2015-12-01,Offer B,No,Yes,DSL,24.0,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1736
2656FMOKZ,1,Female,70,No,Yes,No,Yes,2,1,Q3,0,2019-07-01,Offer D,Yes,Yes,Fiber Optic,19.0,No,No,No,Yes,Month-to-Month,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,428
2070FNEXE,1,Female,77,No,Yes,No,Yes,2,1,Q3,0,2020-03-01,Offer E,Yes,Yes,Fiber Optic,18.0,No,No,No,No,Month-to-Month,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,184
0094OIFMO,1,Female,78,No,Yes,No,Yes,1,1,Q3,0,2019-10-01,Offer D,Yes,Yes,Fiber Optic,29.0,Yes,Yes,No,No,Month-to-Month,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,336
9947OTFQU,1,Male,65,No,Yes,No,No,0,1,Q3,0,2019-07-01,Offer D,Yes,Yes,Fiber Optic,29.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95,428
9514JDSKI,1,Male,77,No,Yes,Yes,No,0,1,Q3,1,2020-08-01,Offer E,No,Yes,DSL,12.0,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,31
7273TEFQD,1,Male,67,No,Yes,No,No,0,1,Q3,0,2020-06-01,Offer E,No,Yes,DSL,28.0,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,92
3606TWKGI,1,Male,68,No,Yes,N,No,0,1,Q3,0,2019-08-01,Offer D,Yes,Yes,Cable,11.0,Yes,Yes,No,No,Month-to-Month,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,397
4385GZQXV,1,Female,68,No,Yes,No,No,0,1,Q3,0,2019-06-01,Offer D,Yes,Yes,Fiber Optic,9.0,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,458
3488PGMQJ,1,Male,66,No,Yes,No,No,0,1,Q3,0,2020-01-01,,Yes,Yes,Fiber Optic,7.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,244
7534BFESC,1,Male,69,No,Yes,No,No,0,1,Q3,0,2018-10-01,Offer C,Yes,Yes,Fiber Optic,15.0,No,No,No,Yes,Month-to-Month,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,701
8098LLAZX,1,Female,74,No,Yes,No,No,0,1,Q3,0,2020-05-01,Offer E,Yes,Yes,Fiber Optic,2.0,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,123
